fips,pollutant,year,pred_wght,state_abbr,lat,lon
6085511301,o3,2002,56.4071189,CA,37.44389654,-122.1539028
6001450607,o3,2002,56.40655422,CA,37.65774054,-121.8830143
6085511400,o3,2002,56.40572558,CA,37.43555716,-122.1434765
6001450605,o3,2002,56.40451118,CA,37.6724435,-121.8832288
6081613900,o3,2002,56.40148148,CA,37.46180788,-122.1608803
6085511000,o3,2002,56.40134561,CA,37.43755598,-122.1223694
6085511200,o3,2002,56.39793652,CA,37.4509469,-122.1476832
6001450604,o3,2002,56.39326149,CA,37.68112469,-121.8841468
6085511100,o3,2002,56.39252035,CA,37.44604441,-122.1327456
6081608013,o3,2002,56.38573858,CA,37.53847268,-122.2645666
6081611800,o3,2002,56.38455775,CA,37.47605858,-122.1381656
6081609100,o3,2002,56.38040203,CA,37.5112343,-122.2597705
6081611600,o3,2002,56.37837958,CA,37.4750985,-122.1702003
6095252911,o3,2002,56.37825482,CA,38.36728579,-121.9473628
6081608002,o3,2002,56.37421703,CA,37.54863088,-122.2671515
6081611700,o3,2002,56.37373258,CA,37.47583186,-122.1590424
6081610304,o3,2002,56.36538904,CA,37.5317123,-122.2517286
6095252912,o3,2002,56.35493516,CA,38.35738713,-121.9448373
6081610400,o3,2002,56.35368188,CA,37.48293985,-122.1916297
6013302007,o3,2002,56.34965721,CA,37.98681713,-121.7047693
6081610303,o3,2002,56.34452673,CA,37.53996037,-122.2398229
6095252909,o3,2002,56.34391861,CA,38.34775898,-121.9420025
6081608001,o3,2002,56.34166667,CA,37.55173719,-122.2579455
6081608100,o3,2002,56.33588779,CA,37.56047221,-122.2627468
6081608300,o3,2002,56.3239157,CA,37.55734657,-122.2523719
6081608200,o3,2002,56.31408818,CA,37.56718506,-122.2590268
6081611500,o3,2002,56.3112526,CA,37.46755125,-122.1870407
6095252910,o3,2002,56.30696988,CA,38.34010764,-121.9443701
6081612800,o3,2002,56.2879105,CA,37.43660731,-122.1930522
6081603300,o3,2002,56.27329471,CA,37.58827606,-122.4870453
6095252914,o3,2002,56.26515095,CA,38.33217245,-121.950154
6095252915,o3,2002,56.2530156,CA,38.32194812,-121.95534
6013355306,o3,2002,56.23582353,CA,37.92966315,-121.9303316
6085513500,o3,2002,56.22487858,CA,37.20106993,-121.5500621
6013306003,o3,2002,56.21826056,CA,38.00538642,-121.8001188
6013351200,o3,2002,56.21754455,CA,37.8687255,-122.1025791
6095980000,o3,2002,56.2157,CA,38.2435,-121.942
6095252908,o3,2002,56.20056944,CA,38.34221994,-121.9568809
6085511800,o3,2002,56.17060581,CA,37.16362921,-121.9817508
6013355107,o3,2002,56.16646504,CA,37.97147058,-121.833186
6001404600,o3,2002,56.15971881,CA,37.82420914,-122.1927824
6013303204,o3,2002,56.15658111,CA,37.92931485,-121.7088443
6013333102,o3,2002,56.15266358,CA,37.95817079,-121.9592192
6095252913,o3,2002,56.14667218,CA,38.3262769,-121.9657063
6095253105,o3,2002,56.12791356,CA,38.3525571,-121.9683236
6095253106,o3,2002,56.12293216,CA,38.34193271,-121.9654063
6081607500,o3,2002,56.11714307,CA,37.54836031,-122.297365
6013307101,o3,2002,56.11454786,CA,37.98661781,-121.8155132
6095253205,o3,2002,56.11359021,CA,38.37605867,-121.9752065
6013333101,o3,2002,56.11183048,CA,37.96336871,-121.9721164
6013307204,o3,2002,56.09974479,CA,37.99458367,-121.8310265
6095253206,o3,2002,56.0905442,CA,38.3941284,-121.9717515
6013334006,o3,2002,56.07621789,CA,37.951757,-121.9874225
6001404502,o3,2002,56.06530005,CA,37.83462944,-122.2024409
6095253000,o3,2002,56.06097254,CA,38.32331901,-121.9756901
6013333200,o3,2002,56.04886996,CA,37.96910673,-121.9856564
6085511705,o3,2002,56.02886372,CA,37.40868342,-122.1434854
6095253107,o3,2002,56.0139502,CA,38.34016149,-121.9778918
6013352101,o3,2002,56.01088481,CA,37.84639841,-122.1137275
6085508505,o3,2002,55.99853226,CA,37.35767789,-122.0100601
6013349000,o3,2002,55.99447486,CA,37.89022411,-122.1045851
6081607200,o3,2002,55.99344632,CA,37.53302776,-122.2977822
6013353001,o3,2002,55.99248066,CA,37.86101923,-122.1705021
6013307205,o3,2002,55.97834913,CA,37.99147833,-121.8353289
6001400100,o3,2002,55.97327576,CA,37.85942128,-122.2304331
6085508204,o3,2002,55.97263798,CA,37.34560994,-122.0172024
6081613501,o3,2002,55.97079336,CA,37.47706991,-122.437468
6095252904,o3,2002,55.96995527,CA,38.40683883,-121.9390948
6081610302,o3,2002,55.96705028,CA,37.49124654,-122.2042623
6085507701,o3,2002,55.96479636,CA,37.32039643,-122.0503177
6085507807,o3,2002,55.96271379,CA,37.3126835,-122.0416614
6085508602,o3,2002,55.9606423,CA,37.37302774,-122.0269177
6085508503,o3,2002,55.95794119,CA,37.35681179,-122.0270123
6085508800,o3,2002,55.95589636,CA,37.38526224,-122.0244185
6085507806,o3,2002,55.9543092,CA,37.32913844,-122.0420085
6085507805,o3,2002,55.95362772,CA,37.33375848,-122.049287
6085508003,o3,2002,55.95323591,CA,37.31754536,-122.0107916
6085508203,o3,2002,55.95125072,CA,37.34464,-122.0274263
6085508101,o3,2002,55.95060389,CA,37.33088211,-122.0232307
6085510100,o3,2002,55.93772938,CA,37.34138755,-122.0801652
6081603400,o3,2002,55.93578056,CA,37.59181444,-122.4689898
6085508303,o3,2002,55.93510363,CA,37.34424438,-122.0462229
6085508301,o3,2002,55.92861782,CA,37.34479898,-122.0566819
6085508508,o3,2002,55.92799607,CA,37.3597006,-122.0022738
6085508900,o3,2002,55.92664938,CA,37.39105615,-122.0076651
6013352201,o3,2002,55.92265988,CA,37.85272946,-122.1390256
6013352102,o3,2002,55.92182726,CA,37.82689381,-122.119034
6085508403,o3,2002,55.91846113,CA,37.35583969,-122.0429556
6013303202,o3,2002,55.91821972,CA,37.94208713,-121.7161753
6085508404,o3,2002,55.91786739,CA,37.36458403,-122.0416671
6001404400,o3,2002,55.91411703,CA,37.8446926,-122.2158551
6085508601,o3,2002,55.91056914,CA,37.37650537,-122.0408969
6001450606,o3,2002,55.90930485,CA,37.66933415,-121.8996639
6085510002,o3,2002,55.90929949,CA,37.34650307,-122.0713619
6081604900,o3,2002,55.90765307,CA,37.58876994,-122.3985634
6001450601,o3,2002,55.90604007,CA,37.65592276,-121.9197807
6081608900,o3,2002,55.90596518,CA,37.50724664,-122.3032761
6085508401,o3,2002,55.89637234,CA,37.36300907,-122.0561484
6001421100,o3,2002,55.89555748,CA,37.8991743,-122.2663534
6001421500,o3,2002,55.89022821,CA,37.89152745,-122.2602492
6095252706,o3,2002,55.88968398,CA,38.25269168,-121.9841303
6085509102,o3,2002,55.88291732,CA,37.38700754,-122.0434985
6085509302,o3,2002,55.88282579,CA,37.40977925,-122.0999849
6085509106,o3,2002,55.88088648,CA,37.37850547,-122.0502671
6013353002,o3,2002,55.87871157,CA,37.87926611,-122.1678791
6085510001,o3,2002,55.8755602,CA,37.35862534,-122.0803241
6081613400,o3,2002,55.87524045,CA,37.40865509,-122.2639014
6013352202,o3,2002,55.87377959,CA,37.8346281,-122.1429639
6081610602,o3,2002,55.86867871,CA,37.47435629,-122.1980428
6013354001,o3,2002,55.86828537,CA,37.88762862,-122.2047477
6085509107,o3,2002,55.86394193,CA,37.37984344,-122.0565834
6001404501,o3,2002,55.86382236,CA,37.82619117,-122.2156494
6085509902,o3,2002,55.86056071,CA,37.37010643,-122.071951
6081603200,o3,2002,55.85432955,CA,37.59221863,-122.5004587
6085512509,o3,2002,55.85072384,CA,36.99291754,-121.571073
6081612900,o3,2002,55.85033163,CA,37.43191972,-122.2025911
6081613000,o3,2002,55.84327221,CA,37.42430464,-122.2047484
6001421600,o3,2002,55.84017541,CA,37.88350908,-122.2573893
6085509901,o3,2002,55.8347757,CA,37.36915021,-122.0893387
6013350000,o3,2002,55.82827977,CA,37.88102587,-122.1323677
6085509109,o3,2002,55.82193514,CA,37.39329984,-122.0622092
6085509802,o3,2002,55.81844825,CA,37.37912008,-122.0818327
6085509700,o3,2002,55.81485946,CA,37.38665176,-122.0736052
6095253108,o3,2002,55.80967011,CA,38.33965005,-121.9916169
6013392000,o3,2002,55.79974492,CA,37.90890751,-122.2758405
6085504806,o3,2002,55.79742945,CA,37.39595065,-122.0017512
6085509600,o3,2002,55.7890691,CA,37.39032267,-122.0811554
6095252317,o3,2002,55.76898729,CA,38.29040372,-121.985764
6081609201,o3,2002,55.76800918,CA,37.49897174,-122.2569533
6085509500,o3,2002,55.76699844,CA,37.39519996,-122.0901578
6013313204,o3,2002,55.76184491,CA,37.99806741,-121.9029054
6001404700,o3,2002,55.75270773,CA,37.81215645,-122.2076111
6013304001,o3,2002,55.74515304,CA,37.91642695,-121.742986
6001443200,o3,2002,55.72908631,CA,37.48816955,-121.9059282
6001404200,o3,2002,55.72493583,CA,37.83757801,-122.2296052
6085508004,o3,2002,55.72317461,CA,37.31748668,-122.0016099
6085512031,o3,2002,55.72043271,CA,37.2315867,-121.8095715
6085512036,o3,2002,55.71774183,CA,37.24029586,-121.8102353
6013307102,o3,2002,55.71184893,CA,38.0003769,-121.8150385
6081609601,o3,2002,55.69734538,CA,37.49542717,-122.2811753
6081609700,o3,2002,55.69631017,CA,37.46553767,-122.2670071
6013308001,o3,2002,55.69429877,CA,37.99166185,-121.7971404
6085512030,o3,2002,55.69341926,CA,37.23269733,-121.8231643
6013302009,o3,2002,55.69259422,CA,37.96913329,-121.7525111
6085512037,o3,2002,55.69027654,CA,37.24093612,-121.8250965
6085512029,o3,2002,55.68894942,CA,37.24789602,-121.8158581
6085511912,o3,2002,55.68759267,CA,37.20612132,-121.8342292
6085512200,o3,2002,55.68341495,CA,37.05049013,-121.6742848
6085507702,o3,2002,55.68312839,CA,37.3041343,-122.05201
6081613300,o3,2002,55.68310209,CA,37.44271355,-122.252783
